Ulasan,stemming,Errors
"Aduhh kalau belum siap jgn di release dulu, sudah pake 2 nomor dan 2 email msh gak bisa log in... ITx payaahhhh sekelas starbucks... trm ksh sudah di respon.. move five stars","['aduh', 'release', 'pakai', 'nomor', 'email', 'log', 'itx', 'payaahh', 'kelas', 'starbucks', 'trm', 'kasih', 'respon', 'pindah', 'five', 'stars']",-1
otp nya lama banget. waktu nya udah abis 5 menit kemudian baru muncul notif nya gimana si ini,"['otp', 'banget', 'habis', 'menit', 'muncul', 'notif']",-1
Sy tidak bisa loging sy pake hp oppo f11 ga bisa sign in,"['loging', 'pakai', 'handphone', 'oppo', 'sign']",-1
Mantaaapppp,['mantaapp'],0
Pakai 2 email 2 nomer hp..tetap invalid....bener2 gak worth it....tolong di upgrade dong aplikasinya 🥲,"['pakai', 'email', 'nomer', 'hptetap', 'invalidbener', 'worth', 'ittolong', 'upgrade', 'aplikasi']",-1
"Mau login kembali gak bisa, justru di tulis password dan username invalid padahal udh daftar","['login', 'tulis', 'password', 'username', 'invalid', 'daftar']",-1
"Selemot ini, buat gunain aplikasinya 😔.","['lot', 'gunain', 'aplikasi']",-1
Mau sign in gak bisa-bisa👎,"['sign', 'bisabisa']",-1
"Udah register dan udh dapat confirmasi dari email tp pas sign in blg email sm password salah, gmn sih??","['register', 'confirmasi', 'email', 'pas', 'sign', 'email', 'password', 'salah']",-1
"Padahal sudah daftar tapi gak bisa sign in, udh daftar pake 3 nomor sma 3 email tapi ttp aja gak bsa sign in keterangannya invalid mulu. Ini apk mending di apus aja gak guna :)","['daftar', 'sign', 'daftar', 'pakai', 'nomor', 'email', 'sign', 'terang', 'invalid', 'mulu', 'apk', 'mending', 'hapus']",-1
"Perusahaan Besar Aplikasi Lemot nya Minta Ampun , Lokasi ga Update, Maaf Uninstall Segera","['usaha', 'aplikasi', 'lot', 'ampun', 'lokasi', 'maaf', 'uninstall']",-1
"Ga bisa login, padahal email dan password yang di masukkan sudah betul","['login', 'email', 'password', 'masuk']",-1
susah ribet nnti coba lagi klo g mager,"['sulit', 'ribet', 'coba', 'mager']",0
Sumpah aplikasinya berat banget kynya yaa. Buka lama banget. Cuma logo yng muncul. SEJAM LEBIH WOOYY.. ..,"['sumpah', 'aplikasi', 'berat', 'banget', 'kynya', 'buka', 'banget', 'logo', 'muncul', 'jam']",-1
Bru instal aja gk bsa sign in hadeeh.. capedeh,"['instal', 'sign', 'hadeeh', 'capedeh']",-1
"Saya tidak terima inbox sama sekali, terakhir terima inbox promo di bulan sept... Pdahl sdah coba hapus instal lagi ttep ja aplikasi gk ada inbox baru.. ini kenapa yh?","['terima', 'inbox', 'terima', 'inbox', 'promo', 'sept', 'pdahl', 'coba', 'hapus', 'instal', 'aplikasi', 'inbox']",-1
Ga bisa sign up :) terus gmn,"['sign', 'up']",-1
"Ketika ada reward harusnya diingetin percuma juga ngumpul2in point kalo ga dipake, kadang costumer kan ga cek punya reward/lupa. Terutama di outlet crbn 👌","['reward', 'ngumpulin', 'point', 'pakai', 'kadang', 'costumer', 'cek', 'rewardlupa', 'outlet', 'crbn']",0
Byk rewards dan simple pakainya,"['rewards', 'simple', 'pakai']",0
ribet,['ribet'],0
"Posisi saya di kota cimahi, tp pilihan outlet nya malah jakarta semua ga bisa pilih terdekat gimana mau order nya ini","['posisi', 'kota', 'cimahi', 'pilih', 'outlet', 'jakarta', 'pilih', 'dekat', 'order']",-1
Kocak gabisa di buka,"['kocak', 'enggak bisa', 'buka']",-1
"Saya sangat senang sekali dengan pelayanan chacha di Starbucks TSM cibubur. To helpfull on 22 dec 2022 at 10:47 am. If i can give rating about of customer satisfactios, i give for her 98-100%. Thanks cha :)","['senang', 'layan', 'chacha', 'starbucks', 'tsm', 'cibubur', 'helpfull', 'dec', 'give', 'rating', 'about', 'customer', 'satisfactios', 'give', 'her', 'thanks', 'cha']",0
battle of the best bijak Potoajengposisidimana,"['battle', 'best', 'bijak', 'potoajengposisidimana']",0
Aplikasi ribet,"['aplikasi', 'ribet']",0
🥰,[],0
"Kenapa mau di pakai malahan g bisa di buka ini aplikasi. ..saldo gue masih banyak , tolong dong ya !!!! Duh bukannya bikin praktis malahan bikin ribet","['pakai', 'buka', 'aplikasi', 'saldo', 'tolong', 'praktis', 'ribet']",-1
"Error sekali tapi jangan lupa kebaikan yang lainnya. Banya promo, banyak point, banyak free. Nongki ternyaman daripada tempat lainnya. Apalagi menu ADL ice sama Salted caramel,,top dahh","['error', 'lupa', 'baik', 'banya', 'promo', 'point', 'nongki', 'nyaman', 'menu', 'ice', 'salted', 'carameltop']",1
Tempat meetup dan meeting yg nyaman sepanjang kenal starbucks. Thanks Starbucks,"['meetup', 'meeting', 'nyaman', 'kenal', 'starbucks', 'thanks', 'starbucks']",0
Bagus 👍,['bagus'],0
Aplikasi tidak bisa di buka. Gimana nasib dana saya yg ada? Terpaksa bayar dengan Cash karena ramai. Bayangkan jika tidak ada cash. Tolong perbaiki lah..,"['aplikasi', 'buka', 'nasib', 'dana', 'paksa', 'bayar', 'cash', 'ramai', 'bayang', 'cash', 'tolong', 'baik']",-1
aplikasi nggak bisa di buka,"['aplikasi', 'buka']",-1
Mayan buat dapet promo sbux dan kumpulin poin hanya saja loading agak lama,"['lumayan', 'promo', 'sbux', 'kumpulin', 'poin', 'loading']",1
The apps UI looks messed up on my phone,"['apps', 'ui', 'looks', 'messed', 'up', 'phone']",-1
Apk gbsa di donlot! Payah,"['apk', 'gbsa', 'download', 'payah']",-1
"Hallo, saya mencoba daftar pengguna baru di aplikasi starbuks kenapa selalu gagal yaa pendaftaran ituuu? Jaringan saya tidak masalah, tidak ada email masuk jga saran dong kaa","['coba', 'daftar', 'guna', 'aplikasi', 'starbuks', 'gagal', 'daftar', 'jaring', 'email', 'saran']",-1
"Baru kali ini kasih ulasan ☆ 1 , parah sie emang nie apk ga bisa dibuka, kirain abis kuota ternyata, emang apk nya yg error..","['kasih', 'ulas', 'parah', 'apk', 'buka', 'habis', 'kuota', 'apk', 'error']",-1
Kalau ada kendala segera diperbaiki merepotkan,"['kendala', 'baik', 'repot']",0
"Aplikasi payah, ngeleh banget","['aplikasi', 'payah', 'ngeleh', 'banget']",0
Gk bisa di buka... 😭😭,['buka'],-1
"selalu bermasalah di otpnya, dan saya sudah berulang kali tapi tetap gagal","['masalah', 'otpnya', 'ulang', 'gagal']",-1
"Gak bisa kebuka aplikasi, syg bgt saldo jd ngendap!","['buka', 'aplikasi', 'sayang', 'banget', 'saldo', 'ngendap']",-1
Aplikasi ngk bisa dibuka eror terus,"['aplikasi', 'buka', 'eror']",-1
"mau sign in tapi ""Internal server error"" terus","['sign', 'internal', 'server', 'error']",-1
kopi dn kueh ny sngt enk dn mntp. sngt trash dn lzat,"['kopi', 'kueh', 'mntp', 'trash', 'lzat']",0
STARBUCKSZZZZ,['starbuckszz'],0
Gmana ini masa saya ga bisa login.. Bugnya benerin dlu dong,"['login', 'bugnya', 'benerin']",-1
TDK bisa login,['login'],-1
"Aplikasinya ga bisa open udah ditungguin seharian, gimana ni? Mana masih ada saldonya","['aplikasi', 'open', 'ditungguin', 'hari', 'saldo']",-1
"Kesel bet dah, YANG BLG SBUX MINUMAN FANCY HOAX NJIR, APK JELEK GINI BANYAK BUG, ISI SALDO GA MUNCUL"" SALDONYA, INCOME LU BNYK TP BENERIN APK GINIAN AJA SUSAH AMAT","['kesel', 'banget', 'sbux', 'minum', 'fancy', 'hoax', 'apk', 'jelek', 'bug', 'isi', 'saldo', 'muncul', 'saldo', 'income', 'benerin', 'apk', 'sulit']",-1
"Aplikasi sangat lambat saat akan digunakan membeli minuman lewat aplikasi, saat mencari store terdekat proses loadnya lama, mohon di perbaiki,","['aplikasi', 'lambat', 'beli', 'minum', 'aplikasi', 'cari', 'store', 'dekat', 'proses', 'loadnya', 'baik']",-1
Mantap,['mantap'],0
"Kenapa saya mau masukin pin untuk pembayaran saya gagal terus , padahal sudah bener pin nya","['masuk', 'bayar', 'gagal']",-1
Brand doang baguss Tapi bikin aplikasi sendiri aja jelekk nya minta ampun,"['brand', 'doang', 'bagus', 'aplikasi', 'jelekk', 'ampun']",0
Engga bisa kebuka aplikasinya,"['buka', 'aplikasi']",-1
"Tidak bisa dibuka sama sekali, pakai lupa password juga tidak ada balasan di email","['buka', 'pakai', 'lupa', 'password', 'balas', 'email']",-1
🇲🇨😎👉🏻📝♂️👍🏻♂️📝👈🏻😎🇲🇨,[],0
Percuma banyak colokan listriknya jika tidak bisa di gunakan. Tidak ada arus listriknya. Starbucks alauddin Makassar Harus selalu ingatin stafnya.👎👎,"['colok', 'listrik', 'arus', 'listrik', 'starbucks', 'alauddin', 'makassar', 'ingatin', 'staf']",0
"Sumpah yaa ini app tergajelas wkwkw, mau sign up aja ga bisa2, pantes aja banyak yg kasih bintang 1, wajar sii. IT lo mana si ini, perusahaan besar tpi kaya gini","['sumpah', 'app', 'tergajelas', 'sign', 'up', 'kasih', 'bintang', 'wajar', 'usaha']",-1
"Dapet voucher gratis minuman tapi tetap disuruh top up lagi, buat apa top up kan gratis. Gajelas","['voucher', 'gratis', 'minum', 'suruh', 'top', 'up', 'top', 'up', 'gratis', 'enggak jelas']",-1
"Gabisa login dari kapan tau, cuma loading aja","['enggak bisa', 'login', 'loading']",-1
mau login gabisa. udah jangan bikin app. bikin kopi aja sana,"['login', 'enggak bisa', 'app', 'kopi']",-1
instal cm mau gratisan aja ko hshehe,"['instal', 'gratis', 'hshehe']",1
Bad application,"['bad', 'application']",0
"Halo min kenapa hp saya ga bisa klik tombol login di aplikasi Starbuck, saya sudah buat akun baru dan mencoba untuk login tapi sudah coba berulang kali tetep ga bisa login, hp saya infinix Hot 10s. Tolong aplikasi nya di perbaiki","['handphone', 'klik', 'tombol', 'login', 'aplikasi', 'starbuck', 'akun', 'coba', 'login', 'coba', 'ulang', 'login', 'handphone', 'infinix', 'hot', 'tolong', 'aplikasi', 'baik']",-1
Uda 3x uninstall dan reinstall tp tetep aja lola 😭😭😭😭,"['uninstall', 'reinstall', 'lola']",-1
"Registrasi susah sekali, sign ini juga tidak dapet kode otp melalui email","['registrasi', 'sulit', 'sign', 'kode', 'otp', 'email']",-1
"Aplikasi yang sangat sangat mengecewakan, di bukanya susah","['aplikasi', 'kecewa', 'sulit']",0
OK,[],0
Full bug,"['full', 'bug']",-1
"Baru daftar aja udh error terus, gak bisa daftar","['daftar', 'error', 'daftar']",-1
Copot bagian it nya..ganti yg lebih berkualitas it nya...dari dulu ga bener2 aplikasinya..ga bisa kebuka lah..lama kebukanya lah..lg ga pegang uang jd susah mau bayar.,"['copot', 'nyaganti', 'kualitas', 'nyadari', 'aplikasinyaga', 'buka', 'lahlama', 'buka', 'lahlg', 'pegang', 'uang', 'sulit', 'bayar']",-1
Error mulu,"['error', 'mulu']",-1
